,title,type,diet,Item 1,Item 1 amount,Item 2,Item 2 amount,Item 3,Item 3 amount,Item 4,Item 4 amount,Item 5,Item 5 amount,Item 6,Item 6 amount,Item 7,Item 7 amount,Item 8,Item 8 amount,Calls,Proteins,Fats,Carbs,IMG,URL
1,Овсяная каша с яблоком и корицей,Breakfast,"Набрать массу, Стать энергичнее, Быть здоровым",Сливочное масло,1 столовая ложка,Овсяные хлопья,150 г,Яблоко,60 г,Молотая корица,1 чайная ложка,Соль,щепотка,Сахар,1 столовая ложка,Мед,"1,5 столовые ложки",Вода,450 мл,894,"18,6",31,"145,9",https://img01.rl0.ru/eda/c620x415i/s2.eda.ru/StaticContent/Photos/120214160714/120214161237/p_O.jpg,https://eda.ru/recepty/zavtraki/ovsjanaja-kasha-s-jablokom-koricej-30862
2,Печеная камбала с капустой и пореем,Lunch,"Набрать массу, Сбросить вес, Похудеть после родов",Камбала,200г,Молодая капуста,200г,Свекла,По вкусу,Лимон,По вкусу,Лук-порей,По вкусу,Чеснок,"0,5 зубчика",Эстрагон,По вкусу,Оливковое масло,По вкусу,329,"47,3","7,3","18,8",https://img07.rl0.ru/eda/c620x415i/s1.eda.ru/StaticContent/Photos/130907154434/130919123635/p_O.jpg,https://eda.ru/recepty/osnovnye-blyuda/pechenaja-kambala-s-kapustoj-i-poreem-39292
3,Сырники из творога,Breakfast,"Набрать массу, Стать энергичнее",Творог,1 стакан,Яйцо куриное,1шт,Пшеничная мука,3 ст.л.,Сахар,2 ч.л.,Подсолнечное масло,2.5 ст.л,,,,,,,1029,55,"64,6","56,8",http://img05.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131085624/121013131036/p_O.jpg,https://eda.ru/recepty/zavtraki/sirniki-iz-tvoroga-18506
4,Овсяный десерт с орехами и черносливом,Desert,"Стать энергечнее, Быть здоровым",Чернослив,20г,Грецкие орехи,1.5 ч.л.,Овсяные хлопья,5 ст.л,Мёд,По вкусу,Вода,По вкусу,,,,,,,335,"8,9","14,3","47,3",https://img03.rl0.ru/eda/c620x415i/s2.eda.ru/StaticContent/Photos/120214133254/120214133530/p_O.jpg,https://eda.ru/recepty/vypechka-deserty/ovsjanij-desert-s-orehami-chernoslivom-25903
5,Салат «Газапхули»,Salad,"Похудеть, Похудеть после родов, Быть здоровым",Зеленые яблоки,"0,5",Огурцы,1шт,Чеснок,"0,5 зубчика",Зелёный лук перья,2шт,Укроп,2 стебля,Лимонный сок,По вкусу,Винный уксус,По вкусу,Подсолнечное масло,По вкусу,160,5,"5,1","25,8",https://img09.rl0.ru/eda/c620x415i/s1.eda.ru/StaticContent/Photos/110812141030/140714133253/p_O.jpg,https://eda.ru/recepty/salaty/salat-gazaphuli-44943
6,Паровой куриный рулет с мандаринами и черносливом,Lunch,"Похудеть, Похудеть после родов, Быть здоровым",Куриное филе,"0,5 шт",Мандарины,"0,5шт",Толчёные грецкие орехи,По вкусу,Чернослив без косточек,"0,5шт",соль,По вкусу,Специи,По вкусу,Перец чёрный молотый,По вкусу,,,185,"20,4","7,6","8,3",https://img02.rl0.ru/eda/-x900i/s1.eda.ru/StaticContent/Photos/110805165929/130725150902/p_O.jpg,https://eda.ru/recepty/zakuski/parovoj-kurinij-rulet-s-mandarinami-chernoslivom-31174
7,Омлет с моцареллой и помидорами,Breakfast,Набрать массу,Яйцо куриное,3шт,Помидоры черри,4шт,Сливочное масло,20г,Сыр моцарелла,50г,Зеленый базилик,20г,Оливковое масло,По вкусу,Соль,По вкусу,Перец чёрный молотый,По вкусу,570,"33,1","58,3","4,5",https://img05.rl0.ru/eda/c620x415i/s2.eda.ru/StaticContent/Photos/130829212936/130904175634/p_O.jpg,https://eda.ru/recepty/zavtraki/omlet-s-mocarelloj-pomidorami-17598
8,Смузи-боул из банана и ягод,Breakfast,"Стать энергечнее, Быть здоровым",Бананы,"0,5 шт",Малина замороженная,50г,Замороженная чёрная смородина,50г,Кокосовое молоко,5 ст.л,Гранола,"3,5 ст.л",Свежие ягоды,По вкусу,,,,,413,"6,7","20,5","53,8",https://img07.rl0.ru/eda/c620x415i/s1.eda.ru/StaticContent/Photos/170219214134/191003205808/p_O.jpg,https://eda.ru/recepty/zavtraki/smuzi-boul-iz-banana-i-yagod-137505
9,Настоящий греческий салат,Salad,"Похудеть, похудеть после родов",Помидоры,"1,5 шт",Зелёный перец,"0,5 шт",Маслины,"6,5 шт",Огурцы,"1,5 шт",Сушёный орегано,По вкусу,Сыр Фета,9 ст.л.,Олвковое масло,По вкусу,Красный лук,"0,5 головки",365,19,"26,7",10,https://img06.rl0.ru/eda/-x900i/s1.eda.ru/StaticContent/Photos/130725133817/190726123035/p_O.jpg,https://eda.ru/recepty/salaty/nastojaschij-grecheskij-salat-30893
10,Хек в зеленом чесночном соусе,Lunch,"Похудеть, Похудеть после родов, Быть здоровым",Чеснок,"1,5 зубчика",Рубленая петрушка ,"1,5 ст.л",Свежий лавровый лист,"0,5 шт",Оливковое масло,2 ст.л.,,,,,,,,,527,"99,3","14,2","0,5",https://img05.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/120214135414/120214135943/p_O.jpg,https://eda.ru/recepty/osnovnye-blyuda/hek-v-zelenom-chesnochnom-souse-27049
11,Ласси,Drink,"Стать энергичнее, питаться с учётом аллергии",Натуральный йогурт,"1,5 стакана",Сахарная пудра,4 ст.л.,Шафран,Щепотка,Кардамон,По вкусу,Лёд,По вкусу,,,,,,,410,"12,6",8,74,https://img03.rl0.ru/eda/-x900i/s1.eda.ru/StaticContent/Photos/120126130718/170327123332/p_O.jpg,https://eda.ru/recepty/napitki/lassi-92405
12,Говядина с устричным соусом,Lunch,Набрать массу,Свежая кинза,По вкусу,Лук репчатый,По вкусу,Говяжье филе,125г,Капуста брокколи,100 г,Корень имбиря,По вкусу,Лимон,По вкусу,Растительное масло,"1,5 ч.л.",Устричный соус,"1,5 ч.л.",439,"27,1","332,9","10,3",https://img05.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/150615095301/150617122439/p_O.jpg,https://eda.ru/recepty/osnovnye-blyuda/govjadina-s-ustrichnim-sousom-36638
13,Яичница-болтунья со шпинатом,Breakfast,"Набрать массу, похудеть, похудеть после родов, быть здоровым, питаться с учётом аллергии",Яйцо куриное,2 шт,Молодой шпинат,"1,5 ст",Оливковое масло,По вкусу,Сыр пармезан,2 чайные ложки,Свежемолотый чёрный перец,По вкусу,Крупная морская соль,По вкусу,Красный перец хлопьями,По вкусу,,,356,"24,7","26,5","2,8",https://img05.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131084114/130402041325/p_O.jpg,https://eda.ru/recepty/zavtraki/jaichnica-boltunja-so-shpinatom-36102
14,Лазанья классическая,Lunch,Набрать массу,Говяжий фарш,100 г,Соус болоньей,100 г,Сливочное масло,По вкусу,Пшеничная мука,По вкусу,Оливковое масло,По вкусу,молоко,"6,5 ст.л.",Готовые сухие листы лазаньи,"1,5 шт",Твёрдый сыр,84 г,965,50,"72,6","23,9",https://img02.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/120131082527/130715011534/p_O.jpg,https://eda.ru/recepty/pasta-picca/lazanja-klassicheskaja-s-mjasom-31799
15,Салат «Цезарь» традиционный,Salad,"похудеть, похудеть после родов, быть здоровым",Зелёный салат,По вкусу,Помидоры,"0,5 шт",Куриное филе,75 г,Белый хлеб,"1,5 куска",Соус “Цезарь”,По вкусу,Сливочное масло,По вкусу,Чесно,"0,5 зубчика",Сыр пармезан,По вкусу,245,"20,4","11,3","14,1",https://img09.rl0.ru/eda/c620x415i/s1.eda.ru/StaticContent/Photos/120131082454/161109234550/p_O.jpg,https://eda.ru/recepty/salaty/salat-cezar-tradicionnij-25585
16,Ризотто с шампиньонами,Lunch,"Набрать массу, стать энергичнее",Рис арборио,4 ст.л.,Сливочное масло,25г,Лук репчатый,"0,5 головки",Белое сухое вино,"2,5 ст.л",Куриный бульон,"1,5 ст",Шампиньоны,75 г,соль,По вкусу,Шафран,щепотка,538,"13,7","23,2","61,7",https://img08.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/160822164559/160901074921/p_O.jpg,https://eda.ru/recepty/rizotto/rizotto-s-shampinonami-17656
17,Нежная творожная запеканка,Breakfast,"Набрать массу, быть здоровым",Яйцо куриное,1 шт,Рассыпчатый творог,188 г ,Манная крупа,2 ч.л.,Молоко,"2,5 ст.л.",Сахар,2 чайные ложки,Ванилин,По вкусу,,,,,405,"41,8","10,4","35,9",https://img09.rl0.ru/eda/c620x415i/s2.eda.ru/StaticContent/Photos/130104145234/130115124948/p_O.jpg,https://eda.ru/recepty/vypechka-deserty/nezhnaja-tvorozhnaja-zapekanka-35493
18,Андалузский салат с китайской капустой,Salad,"Похудеть, похудеть после родов, Быть здоровым, питаться с учётом аллергии",Куриное филе,50 г,Помидоры,"0,5 шт",Китайская капуста,25 г,Майонез,38 г,Соевый соус,2 чайные ложки,Карри,По вкусу,Белый хлеб,50 г,,,438,"19,5","26,4","29,6",https://img01.rl0.ru/eda/c620x415i/s1.eda.ru/StaticContent/Photos/120213175433/120213175510/p_O.jpg,https://eda.ru/recepty/salaty/andaluzskij-salat-s-kitajskoj-kapustoj-16440
19,Треска с помидорами,Lunch,"Похудеть, похудеть после родов, Быть здоровым, питаться с учётом аллергии",Филе трески,200 г,Оливковое масло,2 ч.л.,Лимо,"0,5 шт",Петрушка,20 г,Помидоры черри,4 шт,соль,По вкусу,Перец чёрный молотый,По вкусу,,,363,"37,1","21,6",5,https://img03.rl0.ru/eda/-x900i/s1.eda.ru/StaticContent/Photos/120213174921/140324153806/p_O.jpg,https://eda.ru/recepty/osnovnye-blyuda/treska-s-pomidorami-17591
20,"Желтый смузи с яблоками, базиликом и имбирем",Drink,Стать энергичнее,Морковь,"0,5 шт",Яблоко “голден”,1 шт,Огурцы,"0,5 шт",Имбирь,25 г,Базилик,"0,5 веточки",Бананы,"0,5 шт",Груши,"0,5 шт",Лёд,75 г,220,"3,3","1,4","49,5",https://img06.rl0.ru/eda/-x900i/s2.eda.ru/StaticContent/Photos/160608133558/160817112516/p_O.jpg,https://eda.ru/recepty/napitki/zheltyy-smuzi-s-yablokami-bazilikom-i-imbirem-80084
